Participant,Water ,Spicy ,Heavy Metal,Tiger,Fork ,Scientist ,Helium ,Kettle ,Square ,Mentor ,Zebra ,Chair ,Argument ,Raccoon ,Razor ,Artist ,Tall,Harpoon ,Minister ,Gold ,Gallon,Shovel
6150ea24533ea8f02c003739,7,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7
5cfd2f7290cc5d001a9b5379,7,3,7,7,7,5,7,7,7,6,7,7,7,7,6,5,7,6,4,7,7,5
5ef1f7026343e20b931a0cb0,6,3,3,6,7,6,6,7,7,7,7,7,7,7,7,5,2,5,3,7,7,5
5e68691662358c10f5adb901,7,4,1,7,1,1,7,1,7,7,7,2,7,7,4,3,4,2,2,7,7,4
5f34c4870288603e56eccc60,7,2,3,6,7,6,7,7,7,7,6,7,7,6,7,1,2,7,6,7,7,7
62df57db36c1085c48f8d86c,7,4,2,7,6,6,6,7,6,6,3,6,5,3,6,2,4,5,4,5,1,5
62e18e19076f2303d7e59e7e,7,3,1,7,5,4,6,6,7,4,7,7,6,7,7,4,4,6,5,6,7,6
60fdb15d7a90d6401a469a11,7,4,2,6,3,5,6,5,6,4,6,6,7,6,5,2,2,6,5,6,7,6
5fa9bafed4c7d12250deda41,7,3,2,4,5,3,7,6,7,7,7,7,7,7,7,3,3,7,7,7,7,7
5c319c5f10677f0001ddced8,4,2,2,6,4,7,6,5,7,4,7,5,7,6,5,4,3,6,6,6,7,5
62eda5558d22fb31eba6a451,7,5,3,5,5,5,5,5,6,6,5,5,4,5,5,4,3,5,5,5,5,5
5fcfffe8dd617f02c493bc87,7,2,1,4,5,1,7,7,7,4,6,7,7,6,7,5,5,7,4,7,7,7
5dbe36c2df0b4834bec53073,7,4,4,5,5,2,5,3,7,6,6,7,6,6,6,2,4,2,6,6,7,6
60867f15c6327e78242c627c,7,4,3,3,6,6,7,7,7,6,4,7,7,4,7,2,5,5,4,7,7,7
60abbd5296067bf85a8150b7,7,3,3,5,7,7,2,7,7,6,6,7,7,6,7,7,3,7,6,6,7,7
611e793fa82561ceb4c5e8e2,7,4,5,3,3,6,7,6,5,7,5,4,6,2,4,2,2,3,4,6,4,5
5bfb200269fe300001e88ffe,7,2,2,7,5,5,7,6,1,7,7,6,7,7,7,3,3,6,6,6,7,7
620bdea4a922fc3f247f6f15,7,2,1,6,7,5,7,7,7,6,6,7,1,6,7,4,3,6,6,7,7,7
62e1abcbf49f10c24ffd0fbd,7,4,1,7,1,1,7,7,7,7,7,7,7,6,7,1,2,4,6,7,7,4
5fe3613dafc8a57da1a66760,7,4,2,6,6,7,7,7,7,3,6,7,7,2,4,1,3,5,6,7,4,6
60c58250ee1f8bbfd27e5c98,7,1,7,6,7,1,7,5,7,6,6,6,3,7,5,1,6,6,2,7,7,6
60b93a0e8689bad10fd7b17a,7,1,1,7,7,7,7,7,1,7,7,7,1,7,7,1,4,7,1,4,1,7
5f2de4218462fd12f8aee07e,7,3,2,6,5,5,5,7,5,5,6,5,6,6,6,6,5,5,6,5,6,5
5da74e9437d4210016492810,7,4,1,1,2,4,7,1,7,2,2,2,5,3,4,2,3,1,1,6,7,1
